d1_min,d2_min,liquidity_min,n,drop5_4w,drop10_8w,drop10_13w,drop10_26w,drop15_26w,drop20_26w,avg_fwd_dd_26w,median_fwd_dd_26w
70,9,50,21,0.2857142857142857,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.0,-0.03777306960743426,-0.03922715491758055
20,7,70,16,0.25,0.125,0.1875,0.1875,0.0,0.0,-0.039063352180731876,-0.0271153047224878
30,11,70,11,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.0,-0.033151432219803476,-0.01644957038518191
60,11,50,36,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.0,-0.04773461797696996,-0.04219810564110543
50,11,50,54,0.2777777777777778,0.12962962962962962,0.14814814814814814,0.16666666666666666,0.1111111111111111,0.0,-0.047295756142116015,-0.04030868852098862
20,5,70,18,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.03969535858891368,-0.03317787485990581
20,11,70,12,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.0367601605777333,-0.023860806022428294
60,9,50,38,0.2631578947368421,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.0,-0.04358365802159301,-0.03963180939983307
20,3,70,21,0.2857142857142857,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.0,-0.04312069377324256,-0.03747627626827088
30,7,70,14,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.0,-0.03161898681463617,-0.019704069085241416
30,9,70,14,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.0,-0.03161898681463617,-0.019704069085241416
60,7,50,44,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.0,-0.03736741914416139,-0.02615005064189213
20,9,70,15,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0,-0.03460813252799119,-0.02295856778530092
60,3,50,48,0.22916666666666666,0.125,0.125,0.125,0.08333333333333333,0.0,-0.0375120837695202,-0.027231974755893673
60,5,50,48,0.22916666666666666,0.125,0.125,0.125,0.08333333333333333,0.0,-0.0375120837695202,-0.027231974755893673
30,5,70,16,0.1875,0.0625,0.125,0.125,0.0,0.0,-0.03326053969460267,-0.0271153047224878
