,Regime
2024-04-16,US_BULL
2024-04-17,US_BULL
2024-04-18,US_BULL
2024-04-19,BROAD_BULL
2024-04-22,BROAD_BULL
2024-04-23,BROAD_BULL
2024-04-24,BROAD_BULL
2024-04-25,BROAD_BULL
2024-04-26,US_BULL
2024-04-29,US_BULL
2024-04-30,US_BULL
2024-05-01,US_BULL
2024-05-02,US_BULL
2024-05-03,US_BULL
2024-05-06,US_BULL
2024-05-07,US_BULL
2024-05-08,US_BULL
2024-05-09,US_BULL
2024-05-10,BROAD_BULL
2024-05-13,BROAD_BULL
2024-05-14,BROAD_BULL
2024-05-15,BROAD_BULL
2024-05-16,BROAD_BULL
2024-05-17,BROAD_BULL
2024-05-20,BROAD_BULL
2024-05-21,BROAD_BULL
2024-05-22,BROAD_BULL
2024-05-23,BROAD_BULL
2024-05-24,US_BULL
2024-05-28,US_BULL
2024-05-29,US_BULL
2024-05-30,US_BULL
2024-05-31,BROAD_BULL
2024-06-03,BROAD_BULL
2024-06-04,BROAD_BULL
2024-06-05,BROAD_BULL
2024-06-06,BROAD_BULL
2024-06-07,US_BULL
2024-06-10,US_BULL
2024-06-11,US_BULL
2024-06-12,US_BULL
2024-06-13,US_BULL
2024-06-14,US_BULL
2024-06-17,US_BULL
2024-06-18,US_BULL
2024-06-20,US_BULL
