,NTSX,Platinum,F-TAA Weekly,SPY
2021-06-28,127089.14370611664,130607.86537176538,106723.99657339296,142610.3918534307
2021-06-29,127145.04003957985,130758.03885891258,106749.2058563859,142687.1323332837
2021-06-30,127583.41761566381,130670.22834363053,106827.89604545356,142807.18598622672
2021-07-01,128130.2676456552,130891.79601112835,107263.98940599724,143597.90142675745
2021-07-02,128812.88155085326,132564.17237428328,107931.87497173906,144695.50185388845
2021-07-06,128346.15446360681,133130.49614892557,107077.44682114784,144431.93004037818
2021-07-07,128807.26272882104,133459.9802417046,107154.23504194894,144942.37924722015
2021-07-08,127519.45790772581,132483.37580113235,106354.15352793396,143761.38365200828
2021-07-09,128819.66792032073,133512.20009590423,107760.6032881291,145296.00091703908
2021-07-12,129174.78476992747,134058.74642851812,107997.13681810453,145816.4513894258
2021-07-13,128436.38398883825,134088.01645418248,107487.88492349794,145319.35002544554
2021-07-14,128677.70144936419,134550.509124695,107380.90691857287,145536.22362214295
2021-07-15,128752.86231550926,133495.26815480608,106913.67262661012,145039.12225816265
2021-07-16,127745.41482230659,132182.3636876905,106078.69668344542,143901.47830244672
2021-07-19,126297.25465814941,130439.32249121177,104092.04468735246,141776.36323980996
2021-07-20,127789.19785112895,132584.13133642974,105497.55714633883,143808.04340241512
2021-07-21,128612.53770813359,133984.6329438629,106652.24166654923,144972.38304385438
2021-07-22,129041.1370744472,134942.49041444404,106739.09791373927,145275.9983859496
2021-07-23,129868.41740404585,136789.34959534148,107615.50153356545,146770.57212239548
2021-07-26,130000.71512280409,136949.76866750378,107963.47472942644,147130.84848044234
2021-07-27,129879.65504811026,135339.04451076625,107425.31066877564,146460.3020920724
2021-07-28,130136.4060262961,135940.06624677763,107688.04543994062,146400.2560323979
2021-07-29,130540.92472675742,136215.96080127062,108134.1475377056,147007.4482501824
2021-07-30,130195.03879906071,135422.43533723432,107616.73189387142,146293.51175591064
2021-08-02,130280.70759212313,135268.90866238766,107548.780400912,145986.58830290448
2021-08-03,131114.0445740422,136233.7165986698,108202.69775916042,147174.2385863442
2021-08-04,130461.45852944482,136470.5248652156,107403.27792011552,146450.33929293358
2021-08-05,131109.3378984438,137390.13467964117,108014.32174226384,147377.76434017994
