,Combined_Equity
2020-06-04,293466.06253646873
2020-06-05,294195.25438237574
2020-06-08,295780.9868550457
2020-06-09,296304.02140135574
2020-06-10,298150.86144931393
2020-06-11,289526.0112948851
2020-06-12,290896.749272872
2020-06-15,292734.05670982285
2020-06-16,295365.9190718029
2020-06-17,295450.4838071407
2020-06-18,296026.6984409675
2020-06-19,296156.1807145479
2020-06-22,298200.9137202904
2020-06-23,299630.5731176954
2020-06-24,296085.52599281934
2020-06-25,297824.50301115797
2020-06-26,294414.6272535507
2020-06-29,296393.16053772526
2020-06-30,300065.7846397337
2020-07-01,300684.2701904781
2020-07-02,301995.68647946714
2020-07-06,305651.0990717999
2020-07-07,304871.43147545884
2020-07-08,306955.6404547719
2020-07-09,307900.8909647367
2020-07-10,309080.56125034153
2020-07-13,306346.9032622399
2020-07-14,308360.88875551074
2020-07-15,309118.47490035783
2020-07-16,307812.95222986635
2020-07-17,308540.5080207525
2020-07-20,313987.6742760461
2020-07-21,313706.03002560936
2020-07-22,315312.2519184404
2020-07-23,312554.8949820397
2020-07-24,311042.9931576166
2020-07-27,314560.34898232477
2020-07-28,312535.32448400377
2020-07-29,315866.33673747565
2020-07-30,316724.0956887804
2020-07-31,319178.1862190055
2020-08-03,321298.8899769778
2020-08-04,323903.28863309865
2020-08-05,324717.4913382505
2020-08-06,327347.1727371927
2020-08-07,324964.1012682348
2020-08-10,324497.07964764396
2020-08-11,318450.76149803685
2020-08-12,320889.31840953144
2020-08-13,321422.64921730786
2020-08-14,321145.7667380981
2020-08-17,323976.27864591475
2020-08-18,325671.58330493176
2020-08-19,322695.56832062325
2020-08-20,324812.10017188266
2020-08-21,325648.69889289147
2020-08-24,326775.93915210036
2020-08-25,327665.5599618448
2020-08-26,330910.65431657596
2020-08-27,329197.36939706234
2020-08-28,331634.6281972409
2020-08-31,332659.17485845817
2020-09-01,336929.8723974138
2020-09-02,340005.6610029689
2020-09-03,327418.59307480283
2020-09-04,323941.57339136815
2020-09-08,311046.3253497968
2020-09-09,316310.9857495302
2020-09-10,310758.8107079172
2020-09-11,309869.93137101084
2020-09-14,313534.0409958335
2020-09-15,315725.33031513664
2020-09-16,312703.73566486797
2020-09-17,311136.5573149178
2020-09-18,309034.51288462867
2020-09-21,308301.50277833606
2020-09-22,311035.38719842775
2020-09-23,302324.5730036255
2020-09-24,303349.8627552096
2020-09-25,308959.69480388943
2020-09-28,313621.54252461286
2020-09-29,313026.028023052
2020-09-30,314109.16891593725
2020-10-01,317702.6497584601
2020-10-02,312544.3039115915
2020-10-05,315231.6617553483
2020-10-06,311560.0219876277
2020-10-07,314157.75636375387
2020-10-08,315718.12296338764
2020-10-09,317921.63527322415
2020-10-12,320933.07802746707
2020-10-13,320067.48468523193
2020-10-14,318412.3318303045
2020-10-15,317654.4565650787
2020-10-16,316368.86255331524
2020-10-19,312830.19299425604
2020-10-20,313514.7598377913
2020-10-21,312827.87659581815
2020-10-22,312624.62406032544
2020-10-23,313063.5454511204
2020-10-26,309409.35082334746
2020-10-27,309756.6428363119
2020-10-28,298690.4595935725
2020-10-29,302500.5886495927
2020-10-30,296717.2974420979
2020-11-02,298185.7130158964
2020-11-03,301479.44484600524
2020-11-04,308130.3382750462
2020-11-05,314351.8752588638
2020-11-06,314270.66617120354
2020-11-09,310755.0112605756
2020-11-10,309295.0963578842
2020-11-11,311331.15666429646
2020-11-12,310573.0125354946
2020-11-13,313039.82444009033
2020-11-16,315138.91225778434
2020-11-17,314599.00625542714
2020-11-18,313422.41387264174
2020-11-19,314495.92337921786
2020-11-20,314009.35853479203
2020-11-23,314587.66403290234
2020-11-24,316724.1142298109
2020-11-25,316591.529084475
2020-11-27,317586.75920655736
2020-11-30,316949.78466982767
2020-12-01,320077.0106912157
2020-12-02,320260.489295904
2020-12-03,321165.6635500577
2020-12-04,323137.4179165235
2020-12-07,324582.4595782771
2020-12-08,325338.718167449
2020-12-09,320199.9796491953
2020-12-10,320666.2925100182
2020-12-11,319985.60204255406
2020-12-14,320734.96415836614
2020-12-15,324736.7670009673
2020-12-16,325529.75203565735
2020-12-17,327285.14497227414
2020-12-18,325999.8863904686
2020-12-21,325523.50292584515
2020-12-22,325591.2917261597
2020-12-23,325070.3451527896
2020-12-24,326355.7660098132
2020-12-28,327979.3817352947
2020-12-29,328365.72571362555
2020-12-30,329776.6547679289
2020-12-31,330589.97835634806
2021-01-04,328028.4382648889
2021-01-05,330955.4889289513
2021-01-06,329090.227057506
2021-01-07,333643.1467021393
2021-01-08,334890.43648257334
2021-01-11,332285.4495175184
2021-01-12,333709.8030215536
2021-01-13,334606.51632208494
2021-01-14,334882.93624864426
2021-01-15,331582.82089212624
2021-01-19,336738.75678963657
2021-01-20,341180.3060329928
2021-01-21,343026.1124606922
2021-01-22,341133.07351268607
2021-01-25,343050.5848502198
2021-01-26,342569.4507069978
2021-01-27,334368.11259742646
2021-01-28,336371.227929959
2021-01-29,329989.36580446793
2021-02-01,337716.42865889013
2021-02-02,342150.3078500451
2021-02-03,340669.5721636339
2021-02-04,343051.8018971737
2021-02-05,343672.79618621594
2021-02-08,347550.7069357203
2021-02-09,347607.9377788938
2021-02-10,347491.0698891958
2021-02-11,349844.5758795571
2021-02-12,351212.33648607816
2021-02-16,350677.65160667663
2021-02-17,348612.80741744785
2021-02-18,347198.6750046695
2021-02-19,347629.02635768
2021-02-22,340557.66985082097
2021-02-23,339850.0768687263
2021-02-24,343392.15120093006
2021-02-25,334216.0985935133
2021-02-26,335243.14498044946
2021-03-01,340745.799643575
2021-03-02,338190.6477405763
2021-03-03,334365.07780388655
2021-03-04,329777.4990210851
2021-03-05,334356.33301094966
2021-03-08,330077.84380662825
2021-03-09,337694.4455168629
2021-03-10,337617.3346446658
2021-03-11,341387.60765122104
2021-03-12,340327.8452099179
2021-03-15,342292.15760959836
2021-03-16,342864.3640412112
2021-03-17,343625.4572607101
2021-03-18,338435.151450534
2021-03-19,339805.777539534
2021-03-22,342079.45170767885
2021-03-23,338361.2289005866
2021-03-24,336157.318582536
2021-03-25,336047.9811598972
2021-03-26,340718.39920004184
2021-03-29,339667.7243577538
2021-03-30,338370.488600111
2021-03-31,341979.8987953668
2021-04-01,346613.89244122535
2021-04-05,350052.43113131524
2021-04-06,349754.90211111895
2021-04-07,349633.5481453985
2021-04-08,351592.9155644158
2021-04-09,352446.9658264303
2021-04-12,351488.22669368365
2021-04-13,352551.0895197154
2021-04-14,350487.7141723346
2021-04-15,354044.5457294932
2021-04-16,354302.8676174509
2021-04-19,351934.16758463613
2021-04-20,349831.57293255266
2021-04-21,353285.956989067
2021-04-22,350773.9528984538
2021-04-23,354705.93803350395
2021-04-26,356595.1966330914
2021-04-27,355533.0765506633
2021-04-28,354783.26992171444
2021-04-29,356747.47029914777
2021-04-30,353862.0075769441
