,NTSX,Platinum Proxy-Aware,F-TAA Stitched,SPY
2008-07-23,95232.31822150567,102490.421815765,97579.26882160087,85648.74599332505
2008-07-24,94202.97102485655,102664.28137086041,97082.29201275822,83871.29388823155
2008-07-25,93979.33904548352,102860.88635763631,97096.40996987617,83851.17292218492
2008-07-28,93483.76817884958,102778.10017892944,96889.56476242079,82621.59169854989
2008-07-29,94494.71274392238,102505.71385117588,96775.94371907249,84385.72993058767
2008-07-30,95574.86720601046,102174.04571799489,97154.55222222459,85889.2966471063
2008-07-31,95141.70526385274,102380.78020009665,96924.58455095057,84753.3129520961
2008-08-01,94899.0705670911,102149.9390551932,96528.11628394762,84305.64648363595
2008-08-04,93872.82381380537,101704.92311834096,95575.48417392127,83523.73172846106
2008-08-05,94898.57049558088,101316.38745785659,95572.99293999854,85775.77836105223
2008-08-06,95215.71584736618,101560.0182701057,95729.8396171852,86156.67525561637
2008-08-07,94589.9263594694,101385.31608279864,95275.27995635258,84873.53822683237
2008-08-08,96191.45537811908,101029.79831434891,95161.45202840347,86450.68161023788
2008-08-11,96688.1264020755,100118.32970071168,95192.12885940219,87346.11465146684
2008-08-12,96390.38382488696,99951.05174790666,94608.74727501592,86437.26763287347
2008-08-13,95603.47129639538,100255.26129668012,94312.29825574285,85916.02449752642
2008-08-14,96235.26164241489,99668.05525601523,94416.23322144052,86564.19989629195
2008-08-15,97087.08345293377,99151.84241437787,94268.64028605078,86985.23861864062
2008-08-18,96115.54452286677,99422.98974829688,93620.03085452745,85795.69911848145
2008-08-19,95197.41323009192,99886.50195472747,93174.77471247377,84860.22435377663
2008-08-20,95422.6454382977,99820.38657641331,93432.99737330196,85254.53522570519
2008-08-21,94972.18102188614,100456.60005431279,93824.19343415253,85401.4883508616
2008-08-22,96032.03258065903,100170.13309379053,94191.83336997441,86637.77656317884
2008-08-25,95079.79641088675,100024.57109379309,92977.19168116528,84880.34531982326
2008-08-26,95301.92817572915,100108.10364453658,93210.47115046882,85127.502857978
2008-08-27,95992.82697425733,100198.57512395209,93861.75565640887,85956.16632531099
2008-08-28,96901.25687973382,100478.57921323275,94575.58336401504,86998.65259600505
2008-08-29,96103.54280662135,100226.234883547,93820.3318546943,86063.07772699153
2008-09-02,96293.16992329904,99436.39391988616,93285.98745564636,85528.52071858878
2008-09-03,96537.90492040363,99304.93486507694,93198.04770064574,85454.94405170188
2008-09-04,95020.08787256578,98995.32033517862,92132.73404758223,82882.26331837775
2008-09-05,95517.65902524062,99138.785120358,92319.01126538742,83142.83483389692
2008-09-08,97017.17345580418,99081.17237575079,92946.50942462716,84860.22435377663
2008-09-09,95615.77305554693,98276.30093899445,91977.72656334545,82340.9993212928
2008-09-10,95977.9248432526,97631.99925483859,92190.5243429702,82675.04739939017
2008-09-11,96712.52989177454,97372.61772358144,92301.64625612422,83871.29388823155
2008-09-12,96148.54924254169,98157.6093225979,92449.76153681894,84258.7976671692
2008-09-15,94386.99734061971,98722.72513220832,91307.43419337769,80249.31979122246
2008-09-16,95799.39931410193,98553.74876753797,91614.54973192433,81592.51940522024
2008-09-17,92662.35071615242,101127.71271021936,90880.41923372561,77923.89670036177
2008-09-18,94472.90962607654,100518.05844875799,91703.82080338178,80236.00591816673
2008-09-19,95652.47830439753,101452.61684064948,93040.81720539855,83422.42616806713
2008-09-22,93337.44725495746,102110.10011027282,92120.03920906928,81533.8582803281
