Date,SPY Buy & Hold,System E Original,R3 Vol-Adjusted,R7 Full Kelly,A: Calmar blend Sys80/R320,C: Regime-switch SysE<->R7 (BearScore),D: 15% vol-target on [A]
2008-09-26,1.187333414277971,3.6738565462668564,1.8032584538784104,2.1071992634762062,3.2037203952221165,2.812028186632625,2.5870672792569414
2008-10-03,1.084074404974034,3.6984379046812643,1.8140602959893903,2.1307933193025557,3.2247067950326693,2.837159054838957,2.6040142101876977
2008-10-10,0.8694992524362125,3.5351077665715884,1.739806792234139,2.0524572999519455,3.084378767065684,2.722503595330483,2.49069656547143
2008-10-17,0.9157749634091561,3.563720595818669,1.7511837096510388,2.0646135655287745,3.10838360698011,2.7415424662117758,2.510080946199233
2008-10-24,0.8551555276623465,3.5926441548352863,1.7702278393415893,2.0887515574862583,3.135325377490616,2.768762492252603,2.531836956192155
2008-10-31,0.9513408078661612,3.578795400238044,1.7558234169669933,2.069009513623652,3.1205520397338917,2.7502329530352267,2.5199071951640604
2008-11-07,0.9221611638126084,3.607172890704139,1.7723183106228313,2.089257876913553,3.146209590048706,2.774630052882736,2.540626172071139
2008-11-14,0.8510285425158257,3.6233005589903664,1.7838732606565937,2.103375926179297,3.161564381618194,2.790251853721688,2.553025468498029
2008-11-21,0.7812721699903696,3.7043097061836523,1.830237462478989,2.1609600967035125,3.2345454521521986,2.859736273419774,2.6119591194699567
2008-11-28,0.8851215329864593,3.8063054283315263,1.8738205919864477,2.209503805779556,3.321197170028808,2.9311257414230596,2.681932087255879
2008-12-05,0.8638990507100198,3.8519259428190873,1.8982772150309115,2.2390743804630446,3.361711087442138,2.9683340904752384,2.7133585853172346
2008-12-12,0.8743137662794032,3.900471953898106,1.922232054429089,2.267322354978156,3.404089782432832,3.005763514618982,2.7475126026905023
2008-12-19,0.8734875715448381,4.000235347011218,1.9728054070405412,2.3269387781688464,3.4916553480986967,3.0837345982178177,2.818188616134761
2008-12-26,0.8632856982428108,3.9999052795616135,1.9728338037238293,2.323092536786128,3.4914348629836867,3.081024894825313,2.8180106579518363
2009-01-02,0.9207325462088904,3.9485182584487433,1.9684309567622735,2.3160965185214266,3.4539867383884424,3.0568066948753154,2.7877854873927257
2009-01-09,0.8824017724389309,3.95037461985463,1.9666873583604267,2.3066636917763255,3.4546731835387576,3.051203285493885,2.788339531739993
2009-01-16,0.8424859479556368,3.941247398959756,1.9619068937856758,2.3033025216856653,3.446608114686505,3.04547361411967,2.781830044702523
2009-01-23,0.8231717942193926,3.8727658111518704,1.927902444155266,2.2636329298263718,3.3867509875480493,2.992792412418461,2.7335180959335865
2009-01-30,0.8203986806576572,3.8164005592480623,1.8992835196416327,2.229469259762679,3.337262509313128,2.948417973731422,2.693574902208171
2009-02-06,0.861503085979781,3.803368864620271,1.896491931146653,2.2161159695030666,3.3271639559654203,2.9345012182871253,2.6854241469798703
2009-02-13,0.8197056094633951,3.8218735795111805,1.9048097110697622,2.23047105585716,3.343032457812492,2.951177266662301,2.698231949240446
2009-02-20,0.7668151089105958,3.8201295487021882,1.9043830169762401,2.2331952333746248,3.3416621423054504,2.9523407756365128,2.6971259387160798
2009-02-27,0.7322476910058628,3.75053675460229,1.8705323404879548,2.195398316393565,3.2810811054103204,2.900491268814822,2.648229707126538
2009-03-06,0.6826258136593663,3.7607929197390093,1.879048455508748,2.2088483637363567,3.2912456780650996,2.9134108470717393,2.656433747928896
2009-03-13,0.7536416281143656,3.807797807505623,1.9119045694703385,2.2267286185243704,3.3356618460787555,2.943319692354355,2.6922829731786253
2009-03-20,0.7652208897666639,3.8921779369461724,1.9546765153092807,2.2768005278850314,3.409720551813918,3.009031011523188,2.7520573153232926
2009-03-27,0.8141005904262109,3.8859435923880823,1.9484717969122707,2.267890860645943,3.403185751065579,3.000655024389354,2.746782939922036
2009-04-03,0.8405357657887627,3.865106391315402,1.9372601298987504,2.2646749111744136,3.384670248214672,2.990556296444872,2.731838687367198
2009-04-10,0.8559977283011738,3.869653457711987,1.940003305721236,2.2716458904726022,3.3888141522762814,2.997135856331675,2.7351833196657838
2009-04-17,0.8686668418164972,3.8750080107690064,1.9446230950649763,2.278271977813067,3.3941789509056286,3.0035136432343417,2.739513361699662
2009-04-24,0.8644772316270868,3.8609943225680867,1.9373905687162476,2.2697105972710636,3.381834295877719,2.9923121677319506,2.7295497304699334
2009-05-01,0.8767465601291577,3.8281614058436317,1.9258679055661996,2.249556639486681,3.354803589166071,2.9663250788722784,2.707732677425931
2009-05-08,0.9275220539605135,3.8296061078886794,1.943174774983484,2.24793645526901,3.361841436248793,2.9655276288697037,2.713413072125088
2009-05-15,0.8849264577908247,3.850013166381914,1.949611229609661,2.2620592967421773,3.378399030608113,2.9826870661578337,2.726777055474539
2009-05-22,0.8880192750454587,3.7791319690571568,1.9132559816703136,2.219959113564272,3.316040420901757,2.9272332501334097,2.676446107407704
2009-05-29,0.9230331489011143,3.7884623478147272,1.9191489800908692,2.2352693377094854,3.3246324711022073,2.940930748973444,2.683380932197142
2009-06-05,0.9431840125776365,3.700328883364956,1.879100334401769,2.1955460736687487,3.2488810641004524,2.8756833085078863,2.622240375187475
2009-06-12,0.9484712444865098,3.7200703877121515,1.8891594700988548,2.2073337568632194,3.2662258143693754,2.890868520472645,2.6362396886604373
